run_id,scenario,transport,filesize,domain,resolved_ip,path,dns_time_s,dns_retries,http_time_s,total_time_s,bytes,throughput_mbps,retransmissions,status,auth_ok,ok,timestamp
10,A,tcp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.02092504300071596,0,2.7493473750000703,2.7746003080001174,10485760,30.51126997002256,0,HTTP/1.1 200 OK,True,True,1782073104.4840636
1,A,rudp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.02050346400028502,0,53.859717026,53.88457447899964,10485760,1.5574920298876656,0,HTTP/1.1 200 OK,True,True,1782073158.7819145
2,A,rudp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.020695734000582888,0,53.931271239000125,53.956383296999775,10485760,1.5554256013779666,0,HTTP/1.1 200 OK,True,True,1782073213.1263683
3,A,rudp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.02071440200052166,0,53.77350501900037,53.798831256000085,10485760,1.5599890684150055,0,HTTP/1.1 200 OK,True,True,1782073267.269536
4,A,rudp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.02064562599935016,0,53.80339138399995,53.82831445700049,10485760,1.559122535627857,0,HTTP/1.1 200 OK,True,True,1782073321.4719455
5,A,rudp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.02076649999980873,0,53.74811358899933,53.773418565999236,10485760,1.5607260310837967,0,HTTP/1.1 200 OK,True,True,1782073375.6708198
6,A,rudp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.020712426000500272,0,53.98937406099958,54.01468701700014,10485760,1.553751667971216,0,HTTP/1.1 200 OK,True,True,1782073430.0257318
7,A,rudp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.021187678000387677,0,53.807488163000016,53.833679157000006,10485760,1.5590038276063427,0,HTTP/1.1 200 OK,True,True,1782073484.4179158
8,A,rudp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.02078971300034027,0,53.81072827599928,53.835858354000266,10485760,1.5589099550881744,0,HTTP/1.1 200 OK,True,True,1782073538.649804
9,A,rudp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.020737871000164887,0,53.91206245800004,53.93691889999991,10485760,1.5559797970139075,0,HTTP/1.1 200 OK,True,True,1782073593.005247
10,A,rudp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.020911802000227908,0,53.77326503999939,53.79830056699939,10485760,1.5599960303247555,0,HTTP/1.1 200 OK,True,True,1782073647.0933638
1,B,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10080748699965625,0,0.6200364579999587,0.7215380510006071,102400,1.3212126310160532,0,HTTP/1.1 200 OK,True,True,1782073650.158022
2,B,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10125191000042832,0,0.5046890749999875,0.6065874979994987,102400,1.623177597018561,0,HTTP/1.1 200 OK,True,True,1782073651.0168128
3,B,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10054776499964646,0,0.9031862109995927,1.0039764879993527,102400,0.907011189966417,0,HTTP/1.1 200 OK,True,True,1782073652.2787902
4,B,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10062721900067118,0,0.6040888980005548,0.7048976109999785,102400,1.356091798262526,0,HTTP/1.1 200 OK,True,True,1782073653.2312949
5,B,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.1006189979998453,0,1.0043316359997334,1.105194529000073,102400,0.8156668282031668,0,HTTP/1.1 200 OK,True,True,1782073654.5690656
6,B,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10059708100015996,0,1.9131193040002472,2.013929471000665,102400,0.4282012095571297,0,HTTP/1.1 200 OK,True,True,1782073656.838983
7,B,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.1006854100005512,0,0.9687392989999353,1.0696066459995563,102400,0.8456351475011801,0,HTTP/1.1 200 OK,True,True,1782073658.146868
8,B,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10061129800033086,0,0.502143912000065,0.6029132620005839,102400,1.6314048232449623,0,HTTP/1.1 200 OK,True,True,1782073658.970471
9,B,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,1.10173345199928,1,0.5020615330004148,1.6040049040002486,102400,1.6316725065636988,0,HTTP/1.1 200 OK,True,True,1782073660.8180275
10,B,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10040375999960816,0,0.602139719000661,0.7027056710003308,102400,1.360481586166716,0,HTTP/1.1 200 OK,True,True,1782073661.7625208
1,B,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.1006799589995353,0,2.9110754780003845,3.0122387820001677,0,0.0,0,,,False,1782073665.073473
2,B,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10118676700039941,0,7.125476746999993,7.226783891000196,102400,0.11496774589081411,2,HTTP/1.1 200 OK,True,True,1782073672.5488343
3,B,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10110692299986113,0,8.14468983900042,8.24594303899994,102400,0.10058087124168973,2,HTTP/1.1 200 OK,True,True,1782073681.1072712
4,B,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10096610700020392,0,13.137812664999728,13.239330069000061,102400,0.06235436757158365,3,HTTP/1.1 200 OK,True,True,1782073694.5975828
5,B,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10041044500030694,0,7.124106154000401,7.224988046000362,102400,0.11498986431301202,0,HTTP/1.1 200 OK,True,True,1782073702.0482728
6,B,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10043397000026744,0,6.129168307999862,6.229807747999985,102400,0.133655980523617,0,HTTP/1.1 200 OK,True,True,1782073708.5490518
7,B,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10136372200031474,0,11.142406093000318,11.243900202000077,102400,0.07352092475920646,1,HTTP/1.1 200 OK,True,True,1782073720.0600286
8,B,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10047190899967973,0,9.92149728699951,10.022105356999418,102400,0.08256818263443227,2,HTTP/1.1 200 OK,True,True,1782073730.367338
9,B,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.10062399999969784,0,17.139132030000837,17.239946331000283,102400,0.04779705288261088,3,HTTP/1.1 200 OK,True,True,1782073747.8933375
10,B,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.1004191809997792,0,10.143292194999958,10.243858724999882,102400,0.08076273307041446,1,HTTP/1.1 200 OK,True,True,1782073758.3816738
1,B,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.10048494800048502,0,7.625875333999829,7.726880027000334,816488,0.856544817993237,0,HTTP/1.1 200 OK,True,True,1782073766.4422517
2,B,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.10049111900025309,0,7.721563652999976,7.822789685000316,751328,0.7784205725824402,0,HTTP/1.1 200 OK,True,True,1782073774.5876777
3,B,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.10052830400036328,0,9.941748834999999,10.042755305000355,1048576,0.8437758928758937,0,HTTP/1.1 200 OK,True,True,1782073784.8683534
4,B,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.10071202499966603,0,7.101818570999967,7.202722222000375,561640,0.6326717523237642,0,HTTP/1.1 200 OK,True,True,1782073792.3358123
5,B,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.10048414599987154,0,6.1332677599993985,6.234436851000282,1048576,1.3677224488240542,0,HTTP/1.1 200 OK,True,True,1782073798.8775477
